file_name,image_path,gemini_guess,your_guess,user_description,similarity_gemini_vs_your_guess,similarity_gemini_vs_user_description,taxonomy_gemini_main,taxonomy_gemini_ingredients,taxonomy_gemini_categories,usda_main_gemini,usda_sub_gemini,usda_main_manual,usda_sub_manual,usda_main_agreement,Calories,Protein_g,Fat_g,Carbs_g,ServingSize,ServingUnit,Brand,DataType,Description,FDC_ID,MatchConfidence
image_0.png,/images/image_0.png,"salsa and guacamole, nachos with cheese",Cheese Nachos with guacamole and red sauce,Nachos,0.9525,0.9296,Nachos with salsa and guacamole,"nachos, cheese, salsa, guacamole","snacks, Mexican, dairy, vegetables",Mixed Dishes,Mixed Dishes - Mexican,Mixed Dishes,Mixed Dishes - Mexican,True,290.0,4.84,15.3,33.1,124.0,g,Kraft Heinz Foods Company,Branded,"LUNCHABLES, NACHOS CHEESE DIP & SALSA",1589866.0,69.0
image_1.png,/images/image_1.png,beef noodle soup,Beef Noodle soup ,Beef Soup,0.9906,0.9621,beef noodle soup,"beef, noodles, broth, vegetables (optional), spices (optional)","soup, noodles, protein, meat",Mixed Dishes,Mixed Dishes - Soups,Mixed Dishes,Mixed Dishes - Soups,True,280.0,3.85,2.46,7.16,,,,SR Legacy,"Soup, beef noodle, canned, condensed",171539.0,65.0
image_2.png,/images/image_2.png,coffee with cream,Coffee,Coffee Creamer Milk Sugar,0.9271,0.9335,coffee with cream,"coffee, cream","beverages, dairy",Beverages,Coffee and Tea,Beverages,Coffee and Tea,True,350.0,6.15,34.4,5.52,,,,SR Legacy,"Cheese, cream",173418.0,62.0
image_3.png,/images/image_3.png,Magnum ice cream,Magnum Ice Cream,Ice Cream Bar,0.9979,0.9096,Magnum ice cream,"ice cream, chocolate, dairy, sugar, stabilizers, emulsifiers","dessert, dairy, frozen dessert",Snacks and Sweets,Other Desserts,Snacks and Sweets,Other Desserts,True,990.0,4.29,8.57,37.1,,,,SR Legacy,Ice cream sandwich,172226.0,71.0
image_4.png,/images/image_4.png,Starbucks drink,Coffee,Coffee With Sugar,0.9049,0.8734,Starbucks drink,,beverage,Beverages,Sweetened Beverages,Beverages,Coffee and Tea,True,71.0,2.19,1.09,12.9,411.0,ml,STARBUCKS,Branded,"STARBUCKS, FRAPPUCCINO, CHILLED COFFEE DRINK",540579.0,53.0
image_5.png,/images/image_5.png,cantaloupe slices,Cantaloupe Slice,Cantaloupe,0.973,0.9387,cantaloupe slices,cantaloupe,fruit,Fruit,Fruits,Fruit,Fruits,True,37.0,0.75,0.0,8.96,134.0,g,Legend Produce L.L.C.,Branded,CANTALOUPE,1568209.0,74.0
image_6.png,/images/image_6.png,lamb chop,Lamb ,Lamb,0.9454,0.9502,lamb chop,lamb,protein,Protein Foods,Meats,Protein Foods,Meats,True,1000.0,16.1,18.8,0.26,,,,SR Legacy,"Ham, chopped, canned",171626.0,52.0
image_7.png,/images/image_7.png,red wine, Red Wine,Red Wine,0.9885,0.9937,Red Wine,"Grapes, Yeast, Sulfites (optional)","Beverage, Alcohol",Alcoholic Beverages,Alcoholic Beverages,Alcoholic Beverages,Alcoholic Beverages,True,79.0,0.04,0.0,0.27,,,,SR Legacy,"Vinegar, red wine",172240.0,67.0
image_8.png,/images/image_8.png,fruit bowl,"Grapes ,Berries",Fruits,0.8662,0.9167,fruit bowl,fruit,fruit,Fruit,Fruits,Fruit,Fruits,True,350.0,0.0,0.0,92.5,40.0,g,Jelly Belly Candy Company,Branded,FRUIT BOWL,2116497.0,100.0
image_9.png,/images/image_9.png,caprese salad,Tomatoes Cheese Basil,Tomatoes Cheese Basil Olive Oil,0.911,0.905,caprese salad,"tomatoes, mozzarella, basil, olive oil, balsamic glaze (optional), salt, pepper","salad, appetizer, vegetable, dairy",Mixed Dishes,Mixed Dishes - Bean/Vegetable-based,Mixed Dishes,Mixed Dishes - Bean/Vegetable-based,True,152.0,5.76,10.5,9.42,191.0,g,"Ready Pac Produce, Inc.",Branded,CAPRESE SALAD,1950083.0,100.0
